,Warrior,Hunter,Mage,Demon Hunter,Druid,Priest,Death Knight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,35.87,33.1,31.81,33.52,32.14,31.04,34.61,34.59,32.51,31.92,31.43,31.71
Outdoor Zones,48.64,45.5,40.76,39.78,39.68,40.17,42.38,43.09,40.12,40.38,40.94,39.83
World Drop,69.82,67.12,65.76,70.32,72.07,67.24,66.68,67.87,71.42,70.59,67.96,67.7
Group Finder,87.04,90.38,87.23,86.44,79.63,80.85,84.91,87.27,67.92,79.25,70.37,82.98
Achievements,50.75,50.2,48.07,46.82,48.95,48.82,48.59,48.34,47.57,47.92,46.57,47.12
Expansion Features,30.59,30.71,24.26,21.19,24.96,24.97,26.96,27.49,21.53,21.52,20.39,18.5
Holiday,52.54,53.11,52.24,54.11,52.65,51.53,53.1,53.9,53.74,53.02,53.11,51.89
World Event,44.93,43.33,50.91,46.34,47.37,53.57,50,48.98,41.07,44.26,44.44,50.91
Promotion,43.24,40.32,39.68,34.62,54.88,46.58,43.84,44.05,50.68,44.44,53.57,39.68
Pet Battles,6.33,6.33,6.33,6.33,6.33,6.33,6.25,6.33,6.33,5.06,6.33,6.33
PvP,12.19,10.98,9.18,7.87,11.49,8.7,11.43,12.13,11.03,9.04,7.65,8.58
Crafted Item,52.92,54.08,51.56,50.29,54.92,50.75,52.92,54.61,53.28,52.3,53.07,53.62
Professions,60.46,59.91,46.5,50.22,55.17,49.38,28.57,48.15,24.83,47.92,49.05,47.95
Secrets,0,0,5,0,0,5,0,0,0,0,0,5
Item Sets,81.12,82.76,84.09,82.11,83.8,77.27,76.92,86.96,57.5,82.3,53.52,81.82
In-Game Shop,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33
Black Market Auction House,0,0,0,0,0,0,0,0,0,0,0,0
Factions,51.79,57.71,57.74,51.79,57.71,56.73,56.42,56.74,58.38,52.88,52.88,51.32
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Battle Pets,19.16,19.16,19.18,18.98,19.11,19.17,19.21,19.18,19.18,19.08,18.93,18.94
Illusions,24,24,24,28.3,24,24,23.53,24,24,23.53,25.86,28.3
Mounts,27.98,27.57,27.95,27.6,27.75,27.9,27.73,27.48,27.4,27.65,27.24,27.27
