,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,31.63,30.8,29.96,29.53,27.29,28.79,31.35,30.85,28.08,27.8,28.27,29.84
Outdoor Zones,50.12,48.43,41.11,40.86,40.15,40.95,41.26,42.63,40.06,40.62,43.3,40.5
World Drop,56.51,53.33,50.94,51.31,54.52,52.68,52.67,53.75,54.07,54.73,53.36,51.78
Group Finder,64.47,78.82,51.7,58.62,59.04,51.37,61.59,60.76,58.33,60.26,70.37,51.02
Achievements,48.06,47.13,43.11,43.95,43.7,43.41,43.76,43.22,42.58,42.59,42.51,42.52
Expansion Features,24.87,23.29,22.14,21.04,20.61,23.39,24.34,23.67,19.02,19.19,20.55,20.95
Event,20.32,18.63,15.46,17.24,17.52,17.26,19.15,17.55,15.55,16,15.77,14.77
Holiday,70.96,71.98,70.43,71.25,71.29,70.86,69.88,70.06,70.74,70.84,71.21,71.06
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,12,12,12,12,12,12,11.76,12,12,12,12,12
PvP,6.49,7.53,5.46,4.4,5.82,5.18,5.49,6.09,4.89,4.89,5.09,5.44
Crafted Item,30.49,32.74,31.34,32.7,30.25,30.81,31.86,33.15,30.75,30.89,32.63,32.68
Professions,64.72,65.67,60.41,53.07,66.67,64.4,25.98,55.63,32.64,32.64,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,31.27,29.29,32.82,38.17,36.42,35.07,37.95,35.33,19.39,18.58,18.28,20.95
In-Game Shop,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96
Factions,51.22,55,53.9,54.32,55,53.85,51.22,50.61,55.06,55.06,55.06,53.9
Mounts,28.01,27.83,28.2,28.36,27.93,28.2,28.2,28.22,27.89,27.75,27.89,27.99
Pet Journal,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85
Toy Box,24.92,25.04,24.63,25,24.75,24.59,23.84,24.71,24.83,24.71,24.51,24.71
