,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Classic,47.15,44.98,41.61,44.7,45.41,42.92,42.73,42.52,45.47,45.17,44.41,42.05
Molten Core,74.65,60,69.64,72.73,62.75,73.08,74,70.49,75,60.78,50.94,64.71
Onyxia's Lair,47.37,55.56,66.67,70,57.14,72.73,43.75,41.18,53.85,64.29,69.23,66.67
Blackwing Lair,11.32,15.91,14.63,26.09,15.38,14.63,16.13,11.9,20.69,15.38,15.91,14.63
Ruins of Ahn'Qiraj,32.35,18.18,28.57,13.33,13.04,26.67,31.82,28.12,11.11,20.83,18.18,33.33
Temple of Ahn'Qiraj,18.75,22,20.34,22.5,17.31,20,23.4,18.75,19.15,16.98,24,24
Blackfathom Deeps,71.43,62.96,66.67,75,83.33,66.67,64.71,70.59,76.47,73.68,65.22,66.67
Blackrock Depths,47.27,35.56,28.05,31.67,30.99,24.69,36.49,35.9,32.35,32.39,32.1,28.77
Deadmines,50,52.94,68.42,53.33,47.06,70.59,52.63,50,50,50,47.06,72.22
Dire Maul,60.27,60.29,40.74,37.5,44.07,46.15,49.06,52.73,43.75,47.06,62.71,40.38
Gnomeregan,44.44,43.75,33.33,33.33,41.67,38.46,15.62,35.71,41.67,57.14,33.33,33.33
Lower Blacrock Spire,29.41,31.25,45.45,30,27.27,43.48,28,29.63,27.27,32,26.67,50
Maraudon,54.55,55,40,57.14,61.11,46.67,46.67,47.06,60,63.16,54.55,40
Ragefire Chasm,100,100,100,100,100,100,100,100,100,100,100,100
Razorfen Downs,63.16,78.57,61.54,91.67,84.62,53.85,73.33,64.71,84.62,80,69.23,58.33
Razorfen Kraul,39.39,39.39,41.67,47.06,56.52,45.45,33.33,31.82,47.62,46.15,42.86,41.67
Scarlet Halls,53.85,58.33,37.5,44.44,70,50,44.44,40,44.44,58.33,58.33,42.86
Scarlet Monastery,54.55,46.15,42.86,50,52.94,46.15,50,47.06,52.63,47.06,41.67,42.86
Scholomance,33.33,40,60,18.18,18.18,60,36.36,38.46,18.18,18.18,40,55.56
Shadowfang Keep,55.56,60.87,53.33,60,52.63,50,59.09,56.52,57.89,47.37,52.17,53.33
Stratholme,46.88,48.94,38.46,45.24,55.1,42.59,40.43,44,53.19,52,51.06,36.73
The Stockade,50,100,100,100,100,100,40,33.33,100,100,88.89,100
The Temple of Atal'hakkar,50,54.17,36.84,75,71.43,38.89,50,47.37,70.59,70.59,47.37,36.84
Uldaman,38.24,18.64,23.33,21.95,28,27.12,33.33,36.73,26,28.57,26.42,22.41
Wailing Caverns,100,100,100,100,100,100,100,100,100,100,100,100
Zul'Farrak,39.29,30.43,30,30.77,50,38.89,31.58,30,40,37.5,38.89,30
Burning Crusade,33.11,39.1,30.4,34.35,27.72,26.6,32.17,29.29,33.07,30.3,31.63,30.34
World Boss,20,22.22,25,20,33.33,28.57,14.29,14.29,33.33,14.29,28.57,25
Karazhan,25.32,32.35,25.33,26.92,21.13,23.75,27.12,25.33,25.86,24.24,22.37,21.43
Gruul's Lair,28.57,54.55,22.22,33.33,16.67,16.67,57.14,20,33.33,20,25,18.18
Magtheridon's Lair,45.45,62.5,37.5,50,25,30,50,30.77,50,33.33,41.67,33.33
Serpentshire Cavern,10.53,23.53,6.67,11.76,13.16,5.56,9.09,5,10,7.41,5,6.9
The Eye,22.22,28.95,19.35,31.58,17.65,16.67,30,18.75,27.27,23.08,16.22,20.69
The Battle for Mount Hyjal,9.8,6.98,8.11,13.04,5.66,6.67,6,5.66,11.11,8.11,5.26,8.11
Black Temple,26.45,43.56,23.26,30,18.75,18.95,23.53,19.05,22.78,26.37,25.24,24.39
Sunwell Plateau,13.51,26.25,13.46,20,6.9,7.69,15.91,9.46,16.67,12,15.66,12.96
Auchenai Crypts,16.67,21.74,27.27,15,14.29,27.27,16.67,21.05,12,13.64,21.74,23.81
Hellfire Ramparts,100,60,81.82,72.22,71.43,81.82,100,100,67.74,65.52,58.97,81.82
Magisters' Terrace,25,36.23,33.33,25.45,24.56,29.17,22.37,24.36,26.98,22.22,33.33,33.33
Mana-Tombs,66.13,58.18,61.36,82.05,88.37,55.26,70.27,65.22,88.37,76.09,65.31,60.47
Old Hillsbrad Foothills,24.32,40.54,30,19.35,21.62,25,20,19.44,17.14,20.51,36.59,31.03
Sethekk Halls,28,39.13,22.73,33.33,28.57,20.83,30.43,33.33,30,26.32,31.82,22.73
Shadow Labyrinth,35.48,66.67,66.67,71.43,50,56.25,36.36,30.77,50,54.55,50,71.43
The Arcatraz,21.43,22.86,15.38,42.31,31.43,15.38,17.24,20,42.31,31.43,22.86,14.29
The Black Morass,36.84,53.85,34.38,27.59,27.59,30.77,27.59,27.59,31.43,34.38,53.85,34.38
The Blood Furance,93.75,72.73,36.36,35.71,33.33,36.36,92.86,92.86,42.86,50,66.67,36.36
The Botanica,52.63,75,38.89,60,50,35.29,60.87,58.33,53.85,58.33,66.67,43.75
The Mechanar,21.43,30.77,26.09,23.08,25,25,21.43,20.69,22.22,22.22,36.84,30
The Shattered Halls,53.49,77.78,55.56,72,61.76,51.28,35.48,37.5,64.29,70.59,64.1,57.58
The Slave Pen,18.75,12.24,14.58,24.32,20.93,14.58,23.08,23.08,20.93,17.31,13.04,14.58
The Steamvault,20,41.67,23.81,33.33,28.57,23.81,23.53,33.33,28.57,25,50,22.22
The Underbog,24.32,21.21,24.14,25.93,21.21,24.14,25.93,31.03,24.14,22.58,25.71,24.14
Wrath of the Lich King,41.63,43.23,41.3,49.1,40.78,39.51,43.27,42.31,44.42,42.05,40.3,41.71
Vault of Archavon,12.86,9.15,8,15.09,12.56,7.45,9.6,12.85,8.41,7.69,6.51,6.45
Naxxramas,42.72,46.88,44.26,55.25,48.35,42.22,46.44,46.79,49.83,47.54,41.69,44.26
The Obsidian Sanctum,78.05,81.58,79.41,82.86,76.19,75,74.36,70.73,80.56,78.38,71.43,79.41
The Eye of Eternity,25,33.33,26.09,35,31.82,26.09,27.27,26.09,30.43,33.33,33.33,26.09
Ulduar,28.95,28.19,25.39,34.44,25.82,24.17,30.85,30.05,29.69,26.32,25.56,26.87
Trial of the Crusader,42.11,42.5,34.78,41.38,41.04,36.43,41.45,41.88,43.18,40.71,48,34.33
Icecrown Citadel,27.69,33.01,35.81,41.28,31.33,32.43,26.93,25.56,37.94,34.7,27.72,36.21
The Ruby Sanctum,20,37.5,33.33,25,25,33.33,20,20,25,25,37.5,33.33
Ahn'kahet: The Old Kingdom,77.78,75.47,69.39,83.78,79.07,69.39,81.13,82.69,85,75.56,77.08,69.39
Azjol-Nerub,69.44,81.48,66.67,75,61.29,62.5,83.33,78.12,67.74,67.74,71.43,66.67
Drak'Tharon Keep,73.91,73.68,68.75,58.82,52.63,68.75,76.19,77.27,57.89,61.11,75,68.75
Gundrak,81.25,86.79,86,81.13,83.05,86.79,89.09,89.09,83.05,77.97,92.45,86
Halls of Lightning,76.27,69.09,60.34,76.19,76.6,62.5,78.85,82,72.34,73.91,74.51,60.34
Halls of Reflection,20,18.37,21.43,20.93,21.43,22.5,23.4,22.45,18.37,17.31,20.93,21.43
Halls of Stone,77.5,85.29,89.29,84,78.12,89.29,77.14,77.14,84,83.33,85.29,89.29
Pit of Saron,41.27,31.67,32.61,35.71,37.5,34.09,37.21,41.3,36.36,38.46,33.9,32.61
The Culling of Stratholme,66.04,56.1,62.5,61.76,61.54,64.71,76.19,73.91,57.5,58.54,62.79,62.5
The Forge of Souls,15.22,20.59,22.58,29.17,22.58,22.58,19.44,19.44,23.33,22.58,20.59,22.58
The Nexus,73.44,62.96,69.57,76.6,73.58,65.31,74.55,75.86,72,73.58,61.67,69.57
The Oculus,58.93,70.83,66,78.38,75.61,68.75,62,64.58,67.44,79.49,73.91,66
The Violet Hold,72.13,81.25,77.5,74.29,68.29,73.81,74.51,76.36,65.12,66.67,86,77.5
Trial of Champion,23.21,29.07,24.39,23.26,21.74,24.39,24.53,24.53,21.74,20.83,29.27,24.39
Utgarde Keep,70.59,76.47,70,66.67,70.97,75,72,75,68.97,66.67,80,70
Utgarde Pinnacle,78.48,78.33,64.29,75.93,75.93,63.83,84.85,83.58,71.93,74.6,80.39,64.29
Cataclysm,28.34,33.21,27.06,34.74,27.4,24.62,28.54,26.73,30.3,28.86,28.67,27.44
World Boss,47.5,57.58,42.5,62.96,62.07,42.5,54.29,48.72,64.29,60.71,50,42.5
Baradin Hold,0,0,0,0,6.98,0,0,0,0,0,0,0
Blackwing Descent,10.78,12.82,13.33,15.15,15.66,12.5,12.36,14.43,14.29,12.35,11.24,13.33
The Bastion of Twilight,20.78,20,21.43,28.26,24.59,18.97,20.9,20,25.49,22.41,17.91,21.43
Throne of the Four Winds,33.33,36.36,37.5,42.86,37.5,34.88,29.82,30.3,42.86,34.09,27.59,37.5
Firelands,8.37,8.33,6.67,13.48,7.54,6.47,8.54,7.94,11.45,10.56,7.21,6.88
Dragon Soul,21.12,22.8,26.8,39.83,26.7,23.7,22.95,20.59,33.1,28.99,20.39,28.28
Blackrock Caverns,55.56,65.52,28,31.82,25,25.93,61.54,60,28,31.03,57.58,28
Deadmines,60,66.67,61.9,57.89,47.37,52.63,60.87,60.87,52.38,57.14,55,61.9
End Time,6.38,25.93,4.35,5.88,4.76,4,2.7,2.56,4.76,12,18.52,4.35
Halls of Origination,92.68,100,81.82,60.71,67.44,75,89.29,90,58.82,62.16,93.62,81.82
Lost City of the Tol'vir,36.84,68,40.74,60,56.25,40.74,41.18,38.89,50,52.94,62.96,40.74
The Vortex Pinnacle,6.25,17.65,7.69,9.09,7.69,8.33,10,9.09,8.33,7.14,18.75,7.69
Grim Batol,65.85,82.76,67.86,83.33,59.38,50,77.14,71.05,69.7,60.61,54.84,67.86
Hour of Twilight,83.33,93.33,60,83.33,78.57,60,87.5,87.5,84.62,76.92,93.33,60
Shadowfang Keep,42.86,63.89,33.33,37.93,37.84,31.43,36.36,36.36,37.84,29.73,65.71,33.33
The Stonecore,83.72,89.19,75.86,96.15,96.15,75.86,80.56,80.56,96.15,96.97,87.88,75.86
Throne of the Tides,55.26,61.11,47.83,37.93,37.93,47.83,58.82,60,34.38,37.93,62.16,47.83
Well of Eternity,23.53,35.71,27.27,23.08,18.75,23.08,20,20,18.75,25,25,27.27
Zul'Aman,15,17.65,15.62,15.15,14.29,15.15,13.16,13.16,14.29,16.22,14.71,15.62
Zul'Gurub,27.27,10.53,11.43,9.68,14.71,12.12,14.71,13.89,11.76,8.33,13.51,11.43
Mists of Pandaria,25.2,29.62,25.62,31.59,25.93,24.39,26.09,24.71,26,27.65,25.36,24.64
World Boss,27.16,27.32,29.6,32.37,20.97,27.85,27.63,25.94,22.22,26.92,21.71,29.6
Mogu'shan Vaults,31.61,30.43,35.71,24.3,23.01,34.78,28.91,27.61,23.01,22.41,22.95,30.77
Heart of Fear,45.99,50,38.26,37.78,40.31,36.29,36.97,35.94,29.17,39.05,38.89,34.58
Terrace of Endless Springs,59.52,61.82,54.13,64.79,52.43,52.29,56.7,52.43,52.63,60.23,50.52,50.5
Throne of Thunder,11.2,13.74,12.47,15.45,12.31,11.06,12.84,12.05,14.25,12.86,12.45,12.71
Siege of Orgrimmar,14.09,17.24,18.74,21.75,16.16,17.74,15.77,15.3,16.6,17.9,15.53,18.74
Gate of the Setting Sun,45.65,58.06,35.29,72,67.74,40.54,61.76,52.5,75,61.76,56.76,35.29
Mogu'shan Palace,33.33,52.94,20,68.18,53.57,20,39.39,39.39,60,60,64.29,20
